Date,StockName,Open,Close,Volume
11/09/2018,AMZN,88.09,88.17,9240
24/09/2019,MSFT,109.55,109.71,1264
10/12/2020,AMZN,81.16,76.8999999999999,2335
23/01/2022,FB,133.16,135.5,7865
01/03/2020,AAPL,120.01,119.49,3896
18/06/2021,FB,80.78,82.29,3121
01/12/2018,GOOG,100.25,98.03,3120
01/11/2019,AMZN,101.76,102.18,9265
27/11/2021,MSFT,103.91,106.27,2225
11/11/2021,MSFT,129.35,122.6,2987
04/03/2021,AMZN,73.54,72.07,7018
07/08/2019,GOOG,83.32,81.8899999999999,3680
12/05/2022,MSFT,105.1,109.07,3589
15/12/2021,AMZN,86.39,86.93,6793
27/09/2018,GOOG,144.51,145.88,7642
25/08/2022,MSFT,118.16,119.09,8161
25/09/2021,GOOG,81.74,82.41,4453
14/07/2022,AMZN,110.84,111.51,9011
02/03/2020,FB,114.28,116.39,2703
20/03/2022,AAPL,99.18,97.65,9997
02/12/2019,FB,97.36,98.08,5910
30/08/2018,GOOG,134.92,132.78,5476
05/07/2019,MSFT,94.12,93.91,5657
16/09/2021,GOOG,89.58,90.28,3023
07/09/2020,AMZN,110.46,107.89,8578
19/04/2022,GOOG,69.78,68.78,4683
11/10/2018,MSFT,112.67,114.04,2460
28/08/2020,AAPL,96.53,95,7235
23/10/2018,AAPL,108.15,109.29,1522
01/06/2019,GOOG,73.36,71.5,3639
28/06/2020,AMZN,75.16,72.99,7933
21/03/2018,GOOG,84.39,84.11,9492
26/10/2018,FB,107.29,108.85,3038
13/10/2021,AMZN,78.5,81.64,8212
07/05/2018,AAPL,59.19,60.14,4342
11/04/2022,GOOG,84.58,82.16,6650
31/07/2021,FB,100.9,99.8,5350
02/09/2019,AAPL,99.37,98.63,6740
02/10/2019,MSFT,105.27,107.259999999999,7574
09/11/2021,GOOG,123.84,120.91,1319
14/12/2020,FB,134.66,136.64,7706
15/09/2020,GOOG,61.65,61.0899999999999,5108
05/11/2022,MSFT,117.35,121.07,7839
23/02/2019,FB,119.94,118.42,6235
30/12/2019,AAPL,97.26,100.53,2803
21/07/2019,MSFT,127.97,127.16,4578
16/08/2019,FB,99.83,101.14,7101
27/01/2021,AAPL,80.55,79.28,2049
19/08/2018,AAPL,90.54,90.15,9297
24/12/2021,FB,82.01,82.87,3816
23/12/2018,AAPL,96.24,95.92,6766
02/02/2022,GOOG,87.8,88.39,2336
07/09/2019,GOOG,76.82,78.9199999999999,9228
08/11/2021,AMZN,107.7,108.63,4957
27/10/2020,AAPL,87.81,86.15,7459
06/02/2018,GOOG,88.35,86.77,4055
16/09/2019,AMZN,101.82,103.059999999999,2249
13/09/2021,MSFT,107.47,107.32,9628
26/04/2019,GOOG,57.83,55.43,2698
12/02/2019,GOOG,116.67,115.28,4466
10/04/2021,FB,91.26,91.49,4894
03/02/2018,AMZN,115.76,116.59,9544
14/11/2020,MSFT,114.48,114.07,3184
16/11/2018,MSFT,112.54,112.24,8201
19/08/2019,MSFT,106.05,106.49,2015
14/09/2021,GOOG,67.33,66.35,8975
01/11/2020,FB,84.63,85.3999999999999,9173
19/03/2018,AMZN,88.41,86.71,6883
05/08/2019,FB,94.34,98.22,5562
10/01/2022,AMZN,82.27,78.8999999999999,5799
13/03/2018,AMZN,111.66,110.979999999999,4471
15/07/2022,AAPL,114.26,112.71,2777
24/09/2022,FB,89.81,89.93,4317
14/11/2019,GOOG,74.62,75.78,4642
05/05/2020,AMZN,91.01,87.95,5990
12/07/2020,AMZN,77.91,76.1,7646
22/01/2021,AAPL,47.98,48.5199999999999,8028
09/10/2022,AAPL,122.5,121.56,2219
16/07/2021,GOOG,114.45,115.2,1201
23/07/2020,AMZN,113.4,111.04,3118
30/01/2021,AAPL,116.49,114.88,6426
20/05/2022,MSFT,111.39,112.14,6154
30/12/2021,FB,98.92,99.66,2761
17/03/2022,AMZN,109.22,106.78,5341
30/12/2022,FB,60.36,58.41,6041
11/08/2022,MSFT,85.33,89.33,4228
28/09/2022,AAPL,86.37,86.8,9497
10/08/2021,GOOG,95.61,94.17,3173
19/07/2021,MSFT,95.54,95.82,3752
11/01/2020,MSFT,125.18,124.67,3159
17/03/2018,FB,100.58,102.37,2914
20/06/2019,AMZN,119.6,119.119999999999,3436
31/03/2020,MSFT,110.36,115.75,1822
04/01/2020,AAPL,25.56,26.33,7054
14/05/2022,GOOG,124.76,125.94,3668
12/04/2022,AMZN,73.71,74.6699999999999,3148
26/04/2021,MSFT,88.92,88.67,6251
12/09/2021,MSFT,90.91,90.2299999999999,3144
25/08/2021,GOOG,71.54,68.92,7127
21/12/2021,AMZN,93.55,94.7599999999999,8269
18/06/2020,MSFT,112.48,111.5,6870
01/10/2019,GOOG,99.87,99.99,5191
28/07/2021,AAPL,69.02,67.74,8367
23/01/2019,FB,113.18,112.46,3286
13/10/2018,GOOG,84.34,86.94,3301
22/04/2019,MSFT,94.58,97.9299999999999,5669
22/12/2018,AMZN,112.77,111.72,1262
16/04/2018,MSFT,118.2,118.36,7039
27/08/2018,MSFT,90.78,93.32,5587
20/03/2021,GOOG,113.39,116,3402
16/02/2021,FB,91.33,90.3,9628
11/08/2018,AMZN,96.04,91.7,9904
18/03/2022,AAPL,78.2,80.99,6962
23/05/2021,FB,105.37,104.39,1153
